<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;10:01:00;114280;114710;114200;114580;3486
SPFB.RTS-12.18;1;27.09.2018;10:02:00;114580;114730;114520;114570;2200
SPFB.RTS-12.18;1;27.09.2018;10:03:00;114570;114750;114560;114730;1254
SPFB.RTS-12.18;1;27.09.2018;10:04:00;114720;114790;114620;114670;1342
SPFB.RTS-12.18;1;27.09.2018;10:05:00;114690;114790;114650;114740;1091
SPFB.RTS-12.18;1;27.09.2018;10:06:00;114750;114830;114730;114740;1364
SPFB.RTS-12.18;1;27.09.2018;10:07:00;114750;114790;114690;114710;868
SPFB.RTS-12.18;1;27.09.2018;10:08:00;114710;114750;114670;114750;550
SPFB.RTS-12.18;1;27.09.2018;10:09:00;114750;114760;114680;114680;610
SPFB.RTS-12.18;1;27.09.2018;10:10:00;114700;114710;114660;114700;570
SPFB.RTS-12.18;1;27.09.2018;10:11:00;114700;114710;114630;114650;446
SPFB.RTS-12.18;1;27.09.2018;10:12:00;114650;114700;114620;114660;505
SPFB.RTS-12.18;1;27.09.2018;10:13:00;114670;114770;114650;114760;970
SPFB.RTS-12.18;1;27.09.2018;10:14:00;114760;114890;114730;114850;2169
SPFB.RTS-12.18;1;27.09.2018;10:15:00;114850;114920;114830;114910;1182
SPFB.RTS-12.18;1;27.09.2018;10:16:00;114910;114990;114890;114970;2337
SPFB.RTS-12.18;1;27.09.2018;10:17:00;114960;114980;114920;114950;935
SPFB.RTS-12.18;1;27.09.2018;10:18:00;114950;114970;114750;114800;2168
SPFB.RTS-12.18;1;27.09.2018;10:19:00;114790;114800;114660;114690;1359
SPFB.RTS-12.18;1;27.09.2018;10:20:00;114670;114740;114620;114630;1364
SPFB.RTS-12.18;1;27.09.2018;10:21:00;114630;114720;114620;114680;1018
SPFB.RTS-12.18;1;27.09.2018;10:22:00;114670;114800;114670;114780;711
SPFB.RTS-12.18;1;27.09.2018;10:23:00;114780;114910;114770;114890;1287
SPFB.RTS-12.18;1;27.09.2018;10:24:00;114880;114930;114770;114790;686
SPFB.RTS-12.18;1;27.09.2018;10:25:00;114790;114820;114760;114780;279
SPFB.RTS-12.18;1;27.09.2018;10:26:00;114780;114870;114730;114740;652
SPFB.RTS-12.18;1;27.09.2018;10:27:00;114750;114980;114720;114960;1293
SPFB.RTS-12.18;1;27.09.2018;10:28:00;114970;115000;114880;114950;1509
SPFB.RTS-12.18;1;27.09.2018;10:29:00;114950;115050;114950;115010;1068
SPFB.RTS-12.18;1;27.09.2018;10:30:00;115010;115110;115000;115090;1725
SPFB.RTS-12.18;1;27.09.2018;10:31:00;115100;115140;115070;115070;1277
SPFB.RTS-12.18;1;27.09.2018;10:32:00;115070;115120;115050;115060;537
SPFB.RTS-12.18;1;27.09.2018;10:33:00;115060;115070;115040;115050;291
SPFB.RTS-12.18;1;27.09.2018;10:34:00;115060;115080;115040;115060;333
SPFB.RTS-12.18;1;27.09.2018;10:35:00;115050;115140;115050;115140;507
SPFB.RTS-12.18;1;27.09.2018;10:36:00;115140;115170;115090;115090;879
SPFB.RTS-12.18;1;27.09.2018;10:37:00;115100;115140;115050;115050;472
SPFB.RTS-12.18;1;27.09.2018;10:38:00;115050;115150;115050;115130;233
SPFB.RTS-12.18;1;27.09.2018;10:39:00;115140;115210;115120;115150;1302
SPFB.RTS-12.18;1;27.09.2018;10:40:00;115140;115170;115110;115120;309
SPFB.RTS-12.18;1;27.09.2018;10:41:00;115120;115140;115090;115090;270
SPFB.RTS-12.18;1;27.09.2018;10:42:00;115100;115100;115040;115060;754
SPFB.RTS-12.18;1;27.09.2018;10:43:00;115050;115090;115020;115070;680
SPFB.RTS-12.18;1;27.09.2018;10:44:00;115070;115070;115020;115070;825
SPFB.RTS-12.18;1;27.09.2018;10:45:00;115060;115060;115030;115030;241
SPFB.RTS-12.18;1;27.09.2018;10:46:00;115030;115100;115030;115070;475
SPFB.RTS-12.18;1;27.09.2018;10:47:00;115080;115110;115070;115080;223
SPFB.RTS-12.18;1;27.09.2018;10:48:00;115080;115120;115030;115050;533
SPFB.RTS-12.18;1;27.09.2018;10:49:00;115060;115200;115040;115180;1370
SPFB.RTS-12.18;1;27.09.2018;10:50:00;115160;115280;115160;115240;2128
SPFB.RTS-12.18;1;27.09.2018;10:51:00;115250;115250;115180;115210;506
SPFB.RTS-12.18;1;27.09.2018;10:52:00;115210;115260;115200;115250;327
SPFB.RTS-12.18;1;27.09.2018;10:53:00;115240;115320;115230;115250;932
SPFB.RTS-12.18;1;27.09.2018;10:54:00;115250;115280;115250;115250;222
SPFB.RTS-12.18;1;27.09.2018;10:55:00;115250;115250;115220;115230;225
SPFB.RTS-12.18;1;27.09.2018;10:56:00;115240;115250;115200;115250;350
SPFB.RTS-12.18;1;27.09.2018;10:57:00;115240;115280;115220;115250;481
SPFB.RTS-12.18;1;27.09.2018;10:58:00;115260;115280;115220;115220;384
SPFB.RTS-12.18;1;27.09.2018;10:59:00;115220;115260;115210;115250;279
SPFB.RTS-12.18;1;27.09.2018;11:00:00;115260;115300;115250;115290;552
SPFB.RTS-12.18;1;27.09.2018;11:01:00;115290;115350;115260;115330;1119
SPFB.RTS-12.18;1;27.09.2018;11:02:00;115340;115390;115320;115330;1211
SPFB.RTS-12.18;1;27.09.2018;11:03:00;115330;115360;115310;115350;314
SPFB.RTS-12.18;1;27.09.2018;11:04:00;115350;115370;115300;115330;451
SPFB.RTS-12.18;1;27.09.2018;11:05:00;115340;115360;115310;115330;568
SPFB.RTS-12.18;1;27.09.2018;11:06:00;115330;115370;115300;115310;586
SPFB.RTS-12.18;1;27.09.2018;11:07:00;115300;115350;115300;115320;188
SPFB.RTS-12.18;1;27.09.2018;11:08:00;115330;115350;115300;115330;257
SPFB.RTS-12.18;1;27.09.2018;11:09:00;115340;115380;115300;115380;591
SPFB.RTS-12.18;1;27.09.2018;11:10:00;115380;115640;115360;115570;4869
SPFB.RTS-12.18;1;27.09.2018;11:11:00;115570;115670;115570;115650;1644
SPFB.RTS-12.18;1;27.09.2018;11:12:00;115660;115680;115590;115620;1148
SPFB.RTS-12.18;1;27.09.2018;11:13:00;115620;115650;115600;115600;542
SPFB.RTS-12.18;1;27.09.2018;11:14:00;115590;115640;115570;115610;801
SPFB.RTS-12.18;1;27.09.2018;11:15:00;115590;115630;115560;115570;866
SPFB.RTS-12.18;1;27.09.2018;11:16:00;115570;115600;115560;115560;465
SPFB.RTS-12.18;1;27.09.2018;11:17:00;115560;115600;115550;115550;365
SPFB.RTS-12.18;1;27.09.2018;11:18:00;115550;115550;115510;115550;802
SPFB.RTS-12.18;1;27.09.2018;11:19:00;115550;115620;115550;115600;762
SPFB.RTS-12.18;1;27.09.2018;11:20:00;115610;115610;115560;115570;156
SPFB.RTS-12.18;1;27.09.2018;11:21:00;115560;115600;115560;115600;325
SPFB.RTS-12.18;1;27.09.2018;11:22:00;115610;115640;115570;115580;652
SPFB.RTS-12.18;1;27.09.2018;11:23:00;115580;115580;115460;115480;1202
SPFB.RTS-12.18;1;27.09.2018;11:24:00;115480;115500;115470;115490;298
SPFB.RTS-12.18;1;27.09.2018;11:25:00;115500;115530;115480;115510;263
SPFB.RTS-12.18;1;27.09.2018;11:26:00;115510;115530;115450;115460;572
SPFB.RTS-12.18;1;27.09.2018;11:27:00;115450;115480;115430;115440;717
SPFB.RTS-12.18;1;27.09.2018;11:28:00;115440;115520;115430;115510;427
SPFB.RTS-12.18;1;27.09.2018;11:29:00;115520;115520;115460;115490;165
SPFB.RTS-12.18;1;27.09.2018;11:30:00;115500;115580;115490;115540;681
SPFB.RTS-12.18;1;27.09.2018;11:31:00;115540;115590;115530;115560;350
SPFB.RTS-12.18;1;27.09.2018;11:32:00;115550;115590;115510;115590;441
SPFB.RTS-12.18;1;27.09.2018;11:33:00;115590;115740;115590;115690;3148
SPFB.RTS-12.18;1;27.09.2018;11:34:00;115700;115710;115660;115700;503
SPFB.RTS-12.18;1;27.09.2018;11:35:00;115690;115700;115560;115600;1451
SPFB.RTS-12.18;1;27.09.2018;11:36:00;115600;115630;115480;115490;1089
SPFB.RTS-12.18;1;27.09.2018;11:37:00;115500;115520;115440;115470;762
SPFB.RTS-12.18;1;27.09.2018;11:38:00;115460;115490;115410;115440;1108
SPFB.RTS-12.18;1;27.09.2018;11:39:00;115450;115500;115420;115500;534
SPFB.RTS-12.18;1;27.09.2018;11:40:00;115490;115510;115470;115470;270
SPFB.RTS-12.18;1;27.09.2018;11:41:00;115470;115480;115410;115450;416
SPFB.RTS-12.18;1;27.09.2018;11:42:00;115450;115470;115420;115440;329
SPFB.RTS-12.18;1;27.09.2018;11:43:00;115440;115460;115380;115390;354
SPFB.RTS-12.18;1;27.09.2018;11:44:00;115390;115390;115330;115350;634
SPFB.RTS-12.18;1;27.09.2018;11:45:00;115340;115370;115280;115280;744
SPFB.RTS-12.18;1;27.09.2018;11:46:00;115280;115350;115270;115290;868
SPFB.RTS-12.18;1;27.09.2018;11:47:00;115280;115290;115230;115250;1216
SPFB.RTS-12.18;1;27.09.2018;11:48:00;115250;115260;115220;115250;957
SPFB.RTS-12.18;1;27.09.2018;11:49:00;115240;115270;115210;115260;712
SPFB.RTS-12.18;1;27.09.2018;11:50:00;115250;115270;115200;115250;1351
SPFB.RTS-12.18;1;27.09.2018;11:51:00;115230;115310;115210;115310;783
SPFB.RTS-12.18;1;27.09.2018;11:52:00;115310;115320;115250;115260;449
SPFB.RTS-12.18;1;27.09.2018;11:53:00;115260;115310;115240;115260;200
SPFB.RTS-12.18;1;27.09.2018;11:54:00;115250;115270;115230;115240;200
SPFB.RTS-12.18;1;27.09.2018;11:55:00;115230;115250;115140;115200;1081
